Id,dominant_topic,topic_prob
213628,3,0.5249999572066084
213798,9,0.5499999999976138
213838,6,0.5007302787393695
214059,8,0.27500025084200846
214430,2,0.5249999846699632
214536,7,0.3666665949730832
214549,6,0.27500004084055013
214777,2,0.5249594223741707
214852,1,0.5250000218860007
214881,3,0.5249999682820724
215052,4,0.5499999999883268
215132,2,0.52497691985141
215267,8,0.6999812795133761
215542,8,0.2750000895508105
215570,4,0.27500001178463496
215667,4,0.5249770227663937
215689,5,0.6999999999712551
215702,9,0.27500000307774203
215752,0,0.2750000193934784
216093,0,0.3666666749010317
216119,2,0.36666666681984306
216141,9,0.3666666805106861
216489,1,0.6999937588388033
216657,1,0.524995326275311
216972,6,0.5499999999460582
217020,7,0.3666667420181991
217157,7,0.2750003477094221
217666,0,0.36666667787251805
217881,3,0.2750000083914535
217900,2,0.2750000085922426
218616,8,0.2750002687364921
218935,4,0.5499999998200126
218987,4,0.5249636333817935
219110,1,0.5159532528196386
219215,0,0.27500001323632756
219329,3,0.27500010319430834
219547,1,0.5499886353059967
220525,0,0.3666669969549962
220777,3,0.2750000222127503
220902,0,0.5250001092585214
221097,3,0.47984334339053675
221328,2,0.5249750180613361
221339,7,0.2750000041178696
221376,3,0.2750000542931747
221386,8,0.5249667896749866
221745,8,0.2750001798448413
222133,0,0.525000000168329
222375,7,0.2749999913445487
222450,8,0.2750002140593526
222536,4,0.5250002609382585
222736,9,0.5499817756225399
222752,1,0.5249977303498178
222877,4,0.5249638619879284
223328,9,0.7749826900956558
223356,4,0.3666666948502388
223559,2,0.2750000030066173
223866,3,0.27500001766414645
223990,3,0.366666710623942
224026,5,0.5249754221390095
224145,3,0.5249877078239354
224337,1,0.366666859832197
224660,6,0.36666645207423004
224735,2,0.2750000268003929
224771,5,0.5249999632699437
224796,8,0.5249999728764748
225086,2,0.2750000056233415
225274,9,0.4869870640340852
225598,6,0.6999999999940322
225675,6,0.36666695623573603
225735,0,0.6999999999335061
226279,7,0.7749809367376675
226510,1,0.5249751774963181
226528,4,0.5249987840365977
226693,9,0.6999883716405421
227222,0,0.5249998501094616
227279,1,0.27500002728501494
227282,0,0.36666670522415806
227459,0,0.5499916251071184
227461,2,0.27500000191434637
227790,2,0.36666681651646477
227928,8,0.524966750751554
228642,3,0.5499999999962587
228702,9,0.27500011829988485
228730,2,0.36666667572798745
228912,9,0.497310417404944
229186,0,0.1
229352,0,0.5249999980165119
229756,6,0.6999651545915423
230310,6,0.2750000135891881
230751,0,0.5499999999503555
230845,1,0.5249864690436722
230896,8,0.27500004275351436
231767,7,0.774980936746776
231839,3,0.6999999999619091
231924,0,0.2749998659550264
232008,7,0.5249999112459642
232162,1,0.5249977184845517
232435,1,0.5499886353059967
233320,9,0.7749627200610892
233673,8,0.36666665419404293
234512,2,0.5249772264488471
234590,4,0.5249771401721328
